,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend,Daily Return,SMA21,SMA34,average,std,Upper band,Lower band
107,107,RELINFRA,EQ,2017-10-17,459.8,461.75,467.4,459.15,462.0,461.4,462.93,1684333,779730024.4,21008,553446,32.86,10,2017,779728275.69,0.003479773814701881,Slight or No change,-0.0007579859231186199,472.10952380952375,486.8970588235293,466.08571428571435,6.145900089659937,478.3775144650342,453.7939141063945
108,108,RELINFRA,EQ,2017-10-18,461.4,462.2,468.0,460.1,464.0,463.1,463.5,1959211,908097505.6,19619,794981,40.58,10,2017,908094298.5,0.003684438664932843,Slight or No change,0.001947209000432787,470.27619047619044,485.605882352941,466.0642857142858,6.156498398234716,478.3772825107552,453.7512889178164
109,109,RELINFRA,EQ,2017-10-19,463.1,461.0,462.65,450.05,450.75,453.8,456.42,422664,192912356.9,6674,151099,35.75,10,2017,192912302.88,-0.02008205571150945,Negative,-0.015618221258134465,468.2809523809523,483.97499999999985,465.43571428571437,6.937147179425074,479.3100086445645,451.56141992686423
110,110,RELINFRA,EQ,2017-10-23,453.8,455.0,473.7,452.25,470.0,469.3,464.08,2441051,1132837562.0,34795,631819,25.88,10,2017,1132842948.08,0.03415601586602035,Among top gainers,0.03142857142857145,467.09761904761893,482.42205882352926,465.7392857142858,7.011561292482293,479.7624082992504,451.7161631293212
111,111,RELINFRA,EQ,2017-10-24,469.3,470.2,482.8,470.2,479.0,478.1,478.2,1979529,946613966.9,33892,367688,18.57,10,2017,946610767.8,0.018751331770722413,Positive,0.016801361122926486,466.5999999999999,481.54558823529396,467.21785714285727,7.294587222540175,481.8070315879376,452.6286826977769
112,112,RELINFRA,EQ,2017-10-25,478.1,485.0,490.5,477.65,486.55,486.8,484.16,1892205,916131588.1,23128,420712,22.23,10,2017,916129972.8,0.01819702991006067,Positive,0.0037113402061855903,467.34047619047607,480.73676470588225,468.9142857142859,8.847173137644905,486.6086319895757,451.21993943899605
113,113,RELINFRA,EQ,2017-10-26,486.8,486.0,497.7,481.2,492.8,490.8,490.38,1920829,941937356.5,29050,399488,20.8,10,2017,941936125.02,0.008216926869350827,Slight positive,0.009876543209876567,468.62380952380937,480.0176470588234,470.3214285714287,10.612143158550735,491.5457148885302,449.09714225432725
114,114,RELINFRA,EQ,2017-10-27,490.8,493.45,508.5,491.55,505.5,505.85,499.46,2581085,1289137265.0,28698,822698,31.87,10,2017,1289148714.1,0.030664221678891712,Among top gainers,0.025129192420711387,470.1404761904761,479.73382352941155,472.7678571428573,14.252889142243786,501.27363542734486,444.2620788583697
115,115,RELINFRA,EQ,2017-10-30,505.85,509.0,510.5,501.0,502.0,502.85,504.83,1782778,900002744.0,24497,461738,25.9,10,2017,899999817.74,-0.005930611841454936,Slight negative,-0.012082514734774022,472.0190476190475,479.75294117647036,474.5964285714287,16.358759877364363,507.3139483261574,441.8789088167
116,116,RELINFRA,EQ,2017-10-31,502.85,503.0,510.0,501.0,502.0,502.75,505.29,1181779,597138032.6,17042,246305,20.84,10,2017,597141110.91,-0.00019886646117139858,Slight or No change,-0.0004970178926441351,473.93095238095225,479.58088235294093,476.38214285714304,18.0105803001248,512.4033034573927,440.3609822568934
