,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend
293,RELINFRA,EQ,2018-07-16,384.8,384.0,387.25,364.65,370.15,367.85,373.99,2104946,787234285.2,23901,209084,9.93,7,2018,787228754.54,-0.044048856548856485,Among top losers
294,RELINFRA,EQ,2018-07-17,367.85,368.9,388.5,367.75,385.5,385.5,379.67,2185449,829746521.2,31410,293535,13.43,7,2018,829749421.83,0.0479815142041593,Among top gainers
295,RELINFRA,EQ,2018-07-18,385.5,385.5,387.8,368.4,378.3,377.95,376.94,1995728,752262251.3,32372,79134,3.97,7,2018,752269712.32,-0.0195849546044099,Negative
296,RELINFRA,EQ,2018-07-19,377.95,377.95,384.65,371.5,378.2,378.2,377.78,1942139,733698842.3,28254,163279,8.41,7,2018,733701271.42,0.0006614631565022844,Slight or No change
297,RELINFRA,EQ,2018-07-20,378.2,378.2,388.75,372.05,385.0,386.75,380.36,1650083,627629521.2,25130,240461,14.57,7,2018,627625569.88,0.02260708619777896,Positive
298,RELINFRA,EQ,2018-07-23,386.75,387.0,397.85,379.25,396.0,396.5,388.99,1903824,740577815.0,25771,141341,7.42,7,2018,740568497.76,0.025210084033613356,Positive
299,RELINFRA,EQ,2018-07-24,396.5,395.5,404.65,393.05,398.25,399.25,399.22,2405020,960136361.6,32522,335190,13.94,7,2018,960132084.4000001,0.006935687263556201,Slight positive
300,RELINFRA,EQ,2018-07-25,399.25,399.25,404.65,393.75,396.9,398.25,398.42,1637104,652253205.0,25517,152111,9.29,7,2018,652254975.6800001,-0.0025046963055729288,Slight or No change
301,RELINFRA,EQ,2018-07-26,398.25,398.0,404.5,396.2,403.95,401.95,400.72,1953962,782987465.9,27353,463466,23.72,7,2018,782991652.6400001,0.009290646578782091,Slight positive
302,RELINFRA,EQ,2018-07-27,401.95,402.0,413.95,398.7,407.0,407.9,407.22,3283367,1337066941.0,50687,437433,13.32,7,2018,1337052709.74,0.01480283617365341,Positive
303,RELINFRA,EQ,2018-07-30,407.9,407.0,410.35,393.25,394.6,395.4,400.5,2018641,808464735.4,24555,419044,20.76,7,2018,808465720.5,-0.030644765873988677,Among top losers
